record_type,algorithm,order,value
run_time,2mm,9,24.649599
compile_returncode,2mm,0,0
compile_returncode,2mm,1,0
compile_returncode,2mm,2,0
compile_returncode,2mm,3,0
compile_returncode,2mm,4,0
compile_returncode,2mm,5,0
compile_returncode,2mm,6,0
compile_returncode,2mm,7,0
compile_returncode,2mm,8,0
compile_returncode,2mm,9,0
run_returncode,2mm,0,0
run_returncode,2mm,1,0
run_returncode,2mm,2,0
run_returncode,2mm,3,0
run_returncode,2mm,4,0
run_returncode,2mm,5,0
run_returncode,2mm,6,0
run_returncode,2mm,7,0
run_returncode,2mm,8,0
run_returncode,2mm,9,0
compile_time,deriche,0,13.612655
compile_time,deriche,1,2.873885
compile_time,deriche,2,3.124591
compile_time,deriche,3,2.894260
compile_time,deriche,4,26.153391
compile_time,deriche,5,3.085382
compile_time,deriche,6,2.301224
compile_time,deriche,7,2.637585
compile_time,deriche,8,2.462848
compile_time,deriche,9,2.611632
run_time,deriche,0,28.703924
run_time,deriche,1,25.975734
run_time,deriche,2,25.489246
run_time,deriche,3,30.125546
run_time,deriche,4,25.676963
run_time,deriche,5,25.603102
run_time,deriche,6,30.041180
run_time,deriche,7,26.045797
run_time,deriche,8,26.056748
run_time,deriche,9,25.745542
compile_returncode,deriche,0,0
compile_returncode,deriche,1,0
compile_returncode,deriche,2,0
compile_returncode,deriche,3,0
compile_returncode,deriche,4,0
compile_returncode,deriche,5,0
compile_returncode,deriche,6,0
compile_returncode,deriche,7,0
compile_returncode,deriche,8,0
compile_returncode,deriche,9,0
run_returncode,deriche,0,0
run_returncode,deriche,1,0
run_returncode,deriche,2,0
run_returncode,deriche,3,0
run_returncode,deriche,4,0
run_returncode,deriche,5,0
run_returncode,deriche,6,0
run_returncode,deriche,7,0
run_returncode,deriche,8,0
run_returncode,deriche,9,0
compile_time,adi,0,8.240949
compile_time,adi,1,18.904548
compile_time,adi,2,2.975936
compile_time,adi,3,2.678007
compile_time,adi,4,2.339293
compile_time,adi,5,5.990461
compile_time,adi,6,7.417691
compile_time,adi,7,10.676773
compile_time,adi,8,9.620214
compile_time,adi,9,8.186722
run_time,adi,0,114.394344
run_time,adi,1,114.408350
run_time,adi,2,101.538620
run_time,adi,3,100.364906
run_time,adi,4,105.548863
run_time,adi,5,107.333606
run_time,adi,6,107.301843
run_time,adi,7,106.702281
run_time,adi,8,105.586625
run_time,adi,9,107.212705
compile_returncode,adi,0,0
compile_returncode,adi,1,0
compile_returncode,adi,2,0
compile_returncode,adi,3,0
compile_returncode,adi,4,0
compile_returncode,adi,5,0
compile_returncode,adi,6,0
compile_returncode,adi,7,0
compile_returncode,adi,8,0
compile_returncode,adi,9,0
run_returncode,adi,0,0
run_returncode,adi,1,0
run_returncode,adi,2,0
run_returncode,adi,3,0
run_returncode,adi,4,0
run_returncode,adi,5,0
run_returncode,adi,6,0
run_returncode,adi,7,0
run_returncode,adi,8,0
run_returncode,adi,9,0
compile_time,seidel-2d,0,11.451658
compile_time,seidel-2d,1,2.071672
compile_time,seidel-2d,2,1.953895
compile_time,seidel-2d,3,1.924031
compile_time,seidel-2d,4,2.048841
compile_time,seidel-2d,5,2.025192
compile_time,seidel-2d,6,1.756134
compile_time,seidel-2d,7,1.937687
compile_time,seidel-2d,8,1.773713
compile_time,seidel-2d,9,1.980794
run_time,seidel-2d,0,248.084510
run_time,seidel-2d,1,218.107295
run_time,seidel-2d,2,248.018729
run_time,seidel-2d,3,247.936721
run_time,seidel-2d,4,247.979022
run_time,seidel-2d,5,247.938458
run_time,seidel-2d,6,248.081397
run_time,seidel-2d,7,248.023991
run_time,seidel-2d,8,247.966782
run_time,seidel-2d,9,247.955559
compile_returncode,seidel-2d,0,0
compile_returncode,seidel-2d,1,0
compile_returncode,seidel-2d,2,0
compile_returncode,seidel-2d,3,0
compile_returncode,seidel-2d,4,0
compile_returncode,seidel-2d,5,0
compile_returncode,seidel-2d,6,0
compile_returncode,seidel-2d,7,0
compile_returncode,seidel-2d,8,0
compile_returncode,seidel-2d,9,0
run_returncode,seidel-2d,0,0
run_returncode,seidel-2d,1,0
run_returncode,seidel-2d,2,0
run_returncode,seidel-2d,3,0
run_returncode,seidel-2d,4,0
run_returncode,seidel-2d,5,0
run_returncode,seidel-2d,6,0
run_returncode,seidel-2d,7,0
run_returncode,seidel-2d,8,0
run_returncode,seidel-2d,9,0
compile_time,gramschmidt,0,7.744991
compile_time,gramschmidt,1,4.212842
compile_time,gramschmidt,2,2.754465
compile_time,gramschmidt,3,2.621072
compile_time,gramschmidt,4,2.232627
compile_time,gramschmidt,5,2.505491
compile_time,gramschmidt,6,2.681654
compile_time,gramschmidt,7,2.577740
compile_time,gramschmidt,8,2.402727
compile_time,gramschmidt,9,2.438706
run_time,gramschmidt,0,26.489154
run_time,gramschmidt,1,22.559771
run_time,gramschmidt,2,22.564685
run_time,gramschmidt,3,22.570069
run_time,gramschmidt,4,29.437599
run_time,gramschmidt,5,26.586947
run_time,gramschmidt,6,26.517390
run_time,gramschmidt,7,29.391685
run_time,gramschmidt,8,19.911304
run_time,gramschmidt,9,19.791559
compile_returncode,gramschmidt,0,0
compile_returncode,gramschmidt,1,0
compile_returncode,gramschmidt,2,0
compile_returncode,gramschmidt,3,0
compile_returncode,gramschmidt,4,0
compile_returncode,gramschmidt,5,0
compile_returncode,gramschmidt,6,0
