record_type,algorithm,order,value
compile_time,heat-3d,8,5.487501
compile_time,heat-3d,9,5.446957
run_time,heat-3d,0,83.990055
run_time,heat-3d,1,140.915187
run_time,heat-3d,2,94.406937
run_time,heat-3d,3,82.830628
run_time,heat-3d,4,83.934413
run_time,heat-3d,5,69.012685
run_time,heat-3d,6,61.475839
run_time,heat-3d,7,65.811007
run_time,heat-3d,8,64.593604
run_time,heat-3d,9,69.141912
compile_returncode,heat-3d,0,0
compile_returncode,heat-3d,1,0
compile_returncode,heat-3d,2,0
compile_returncode,heat-3d,3,0
compile_returncode,heat-3d,4,0
compile_returncode,heat-3d,5,0
compile_returncode,heat-3d,6,0
compile_returncode,heat-3d,7,0
compile_returncode,heat-3d,8,0
compile_returncode,heat-3d,9,0
run_returncode,heat-3d,0,0
run_returncode,heat-3d,1,0
run_returncode,heat-3d,2,0
run_returncode,heat-3d,3,0
run_returncode,heat-3d,4,0
run_returncode,heat-3d,5,0
run_returncode,heat-3d,6,0
run_returncode,heat-3d,7,0
run_returncode,heat-3d,8,0
run_returncode,heat-3d,9,0
compile_time,floyd-warshall,0,9.247631
compile_time,floyd-warshall,1,4.138351
compile_time,floyd-warshall,2,5.160305
compile_time,floyd-warshall,3,3.996855
compile_time,floyd-warshall,4,4.389343
compile_time,floyd-warshall,5,3.684037
compile_time,floyd-warshall,6,4.145624
compile_time,floyd-warshall,7,3.792317
compile_time,floyd-warshall,8,4.898209
compile_time,floyd-warshall,9,4.364557
run_time,floyd-warshall,0,216.571479
run_time,floyd-warshall,1,283.842111
run_time,floyd-warshall,2,221.864772
run_time,floyd-warshall,3,216.735364
run_time,floyd-warshall,4,168.593588
run_time,floyd-warshall,5,712.037395
run_time,floyd-warshall,6,158.945484
run_time,floyd-warshall,7,222.325085
run_time,floyd-warshall,8,189.988264
run_time,floyd-warshall,9,163.515402
compile_returncode,floyd-warshall,0,0
compile_returncode,floyd-warshall,1,0
compile_returncode,floyd-warshall,2,0
compile_returncode,floyd-warshall,3,0
compile_returncode,floyd-warshall,4,0
compile_returncode,floyd-warshall,5,0
compile_returncode,floyd-warshall,6,0
compile_returncode,floyd-warshall,7,0
compile_returncode,floyd-warshall,8,0
compile_returncode,floyd-warshall,9,0
run_returncode,floyd-warshall,0,0
run_returncode,floyd-warshall,1,0
run_returncode,floyd-warshall,2,0
run_returncode,floyd-warshall,3,0
run_returncode,floyd-warshall,4,0
run_returncode,floyd-warshall,5,0
run_returncode,floyd-warshall,6,0
run_returncode,floyd-warshall,7,0
run_returncode,floyd-warshall,8,0
run_returncode,floyd-warshall,9,0
compile_time,fdtd-2d,0,7.000309
compile_time,fdtd-2d,1,3.185860
compile_time,fdtd-2d,2,3.152251
compile_time,fdtd-2d,3,3.492116
compile_time,fdtd-2d,4,47.375057
compile_time,fdtd-2d,5,14.910920
compile_time,fdtd-2d,6,2.611604
compile_time,fdtd-2d,7,2.722326
compile_time,fdtd-2d,8,4.665632
compile_time,fdtd-2d,9,3.165828
run_time,fdtd-2d,0,27.284176
run_time,fdtd-2d,1,39.260777
run_time,fdtd-2d,2,43.978708
run_time,fdtd-2d,3,26.937354
run_time,fdtd-2d,4,27.207724
run_time,fdtd-2d,5,52.717369
run_time,fdtd-2d,6,27.065712
run_time,fdtd-2d,7,27.101093
run_time,fdtd-2d,8,61.046045
run_time,fdtd-2d,9,27.168534
compile_returncode,fdtd-2d,0,0
compile_returncode,fdtd-2d,1,0
compile_returncode,fdtd-2d,2,0
compile_returncode,fdtd-2d,3,0
compile_returncode,fdtd-2d,4,0
compile_returncode,fdtd-2d,5,0
compile_returncode,fdtd-2d,6,0
compile_returncode,fdtd-2d,7,0
compile_returncode,fdtd-2d,8,0
compile_returncode,fdtd-2d,9,0
run_returncode,fdtd-2d,0,0
run_returncode,fdtd-2d,1,0
run_returncode,fdtd-2d,2,0
run_returncode,fdtd-2d,3,0
run_returncode,fdtd-2d,4,0
run_returncode,fdtd-2d,5,0
run_returncode,fdtd-2d,6,0
run_returncode,fdtd-2d,7,0
run_returncode,fdtd-2d,8,0
run_returncode,fdtd-2d,9,0
compile_time,trmm,0,9.462313
compile_time,trmm,1,12.528486
compile_time,trmm,2,4.248398
compile_time,trmm,3,4.274497
compile_time,trmm,4,4.178227
compile_time,trmm,5,9.047176
compile_time,trmm,6,3.835074
compile_time,trmm,7,5.239890
compile_time,trmm,8,3.823930
compile_time,trmm,9,3.479735
run_time,trmm,0,12.989505
run_time,trmm,1,12.932216
run_time,trmm,2,12.955069
run_time,trmm,3,13.065503
run_time,trmm,4,12.940259
run_time,trmm,5,12.984758
run_time,trmm,6,12.931678
run_time,trmm,7,12.921382
run_time,trmm,8,12.921385
run_time,trmm,9,12.956117
compile_returncode,trmm,0,0
compile_returncode,trmm,1,0
compile_returncode,trmm,2,0
compile_returncode,trmm,3,0
compile_returncode,trmm,4,0
compile_returncode,trmm,5,0
compile_returncode,trmm,6,0
compile_returncode,trmm,7,0
compile_returncode,trmm,8,0
compile_returncode,trmm,9,0
run_returncode,trmm,0,0
run_returncode,trmm,1,0
run_returncode,trmm,2,0
run_returncode,trmm,3,0
run_returncode,trmm,4,0
run_returncode,trmm,5,0
run_returncode,trmm,6,0
run_returncode,trmm,7,0
run_returncode,trmm,8,0
run_returncode,trmm,9,0
compile_time,mvt,0,10.527573
compile_time,mvt,1,6.183912
compile_time,mvt,2,3.221616
compile_time,mvt,3,3.335822
compile_time,mvt,4,3.340637
compile_time,mvt,5,3.238768
compile_time,mvt,6,3.261349
compile_time,mvt,7,3.396537
compile_time,mvt,8,3.258323
compile_time,mvt,9,2.884279
run_time,mvt,0,0.116753
run_time,mvt,1,0.123653
run_time,mvt,2,0.154246
run_time,mvt,3,0.106307
run_time,mvt,4,0.127564
run_time,mvt,5,0.099658
run_time,mvt,6,0.126529
run_time,mvt,7,0.112487
run_time,mvt,8,0.136780
run_time,mvt,9,0.108427
compile_returncode,mvt,0,0
compile_returncode,mvt,1,0
compile_returncode,mvt,2,0
compile_returncode,mvt,3,0
compile_returncode,mvt,4,0
compile_returncode,mvt,5,0
compile_returncode,mvt,6,0
compile_returncode,mvt,7,0
compile_returncode,mvt,8,0
compile_returncode,mvt,9,0
run_returncode,mvt,0,0
run_returncode,mvt,1,0
run_returncode,mvt,2,0
run_returncode,mvt,3,0
run_returncode,mvt,4,0
run_returncode,mvt,5,0
run_returncode,mvt,6,0
run_returncode,mvt,7,0
run_returncode,mvt,8,0
run_returncode,mvt,9,0
